store_id;store_name;store_address;store_location;description
37;STORE_37;Респ Удмуртская,р-н Увинский,д Узей-Тукля,ул Пислегина,д 4;;
38;STORE_38;обл Ленинградская,р-н Всеволожский,гп имени Свердлова,мкр 1-й,д 18;;
39;STORE_39;обл Ярославская,р-н Некрасовский,с Бурмакино,ул Заречная;;
40;STORE_40;обл Саратовская,р-н Новоузенский,п Мирный,ул Центральная,д 3;;
41;STORE_41;обл Ярославская,р-н Некрасовский,рп Бурмакино,ул Ленина,д 19;;
42;STORE_42;обл Ярославская,р-н Некрасовский,с Рождествено,ул Центральная,д 13;;
43;STORE_43;обл Кемеровская область - Кузбасс,р-н Беловский,п Степной,ул Центральная,д 31;;
44;STORE_44;обл Кемеровская область - Кузбасс,р-н Беловский,п Старобачаты,ул Верхняя,д 2;;
45;STORE_45;обл Кемеровская область - Кузбасс,р-н Беловский,с Мохово,пер Клубный,д 2Б;;
46;STORE_46;обл Кемеровская область - Кузбасс,р-н Беловский,д Коротково,ул Лесная,д 44;;
47;STORE_47;обл Кемеровская область - Кузбасс,р-н Беловский,с Каракан,ул Центральная,д 49;;
48;STORE_48;обл Саратовская,р-н Новоузенский,п Таловка,ул Радищева,д 26;;
49;STORE_49;обл Саратовская,р-н Новоузенский,с Бессоновка,ул Молодежная,д 1;;
50;STORE_50;обл Саратовская,р-н Новоузенский,п Чертанла,ул Центральная,д 8;;
51;STORE_51;обл Саратовская,р-н Новоузенский,с Крепость Узень,ул Площадь космонавтов,д 14;;
52;STORE_52;обл Ярославская,р-н Ростовский,рп Семибратово,ул Ленинская,д 1;;
53;STORE_53;обл Кемеровская область - Кузбасс,р-н Беловский,с Поморцево,пер Почтовый,д 2А;;
54;STORE_54;обл Ленинградская,р-н Всеволожский,гп Янино-1,ул Шоссейная,д 46;;
55;STORE_55;обл Свердловская,р-н Серовский,п Пасынок,ул Теплоухова,д 1;;
56;STORE_56;обл Сахалинская,р-н Тымовский,с Арги-Паги,ул Комсомольская,д 1;;
57;STORE_57;обл Сахалинская,р-н Тымовский,с Зональное,ул Школьная;;
58;STORE_58;край Красноярский,р-н Саянский,с Унер,ул Зеленая,д 40А;;
59;STORE_59;край Алтайский,р-н Алтайский,с Алтайское,ул. К. Маркса,д 55;;
60;STORE_60;обл Кемеровская область - Кузбасс,р-н Беловский,с Пермяки,ул Школьная,11 а;;
61;STORE_61;обл Томская,р-н Кожевниковский,с Тека,ул Школьная,д 1;;
62;STORE_62;край Красноярский,р-н Абанский,с Хандальск,ул Центральная,д 29;;
63;STORE_63;обл Кемеровская область - Кузбасс,р-н Беловский,с Сидоренково,ул Центральная,д 9;;
64;STORE_64;обл Тульская,р-н Веневский,с Прудищи,ул Луговая,д 23;;
65;STORE_65;обл Саратовская,р-н Красноармейский,с Луганское,ул Волжская,д 20а;;
66;STORE_66;обл Томская,р-н Кожевниковский,с Хмелёвка,ул Советская,д 57б;;
67;STORE_67;обл Кемеровская область - Кузбасс,р-н Беловский,с Беково,ул Центральная,д 6;;
68;STORE_68;обл Кемеровская область - Кузбасс,р-н Беловский,п Убинский,ул Школьная,д 6;;
69;STORE_69;обл Кемеровская область - Кузбасс,р-н Беловский,п Щебзавод,ул Школьная,д 1;;
70;STORE_70;обл Кемеровская область - Кузбасс,р-н Беловский,с Заринское,пер Школьный,д 8;;
71;STORE_71;обл Кемеровская область - Кузбасс,р-н Беловский,д Инюшка,ул Центральная,д 18;;
72;STORE_72;обл Кемеровская область - Кузбасс,р-н Беловский,с Коновалово,ул Почтовая,д 3;;
73;STORE_73;обл Тульская,р-н Веневский,с Студенец,ул Соловьиная,д 101;;
74;STORE_74;обл Томская,р-н Кожевниковский,с Уртам,ул Фрунзе,д 25;;
75;STORE_75;обл Свердловская,р-н Серовский,с Кошай,ул Ворошилова,д 23;;
76;STORE_76;обл Тульская,р-н Веневский,с Козловка,ул Луговая,д 32;;
77;STORE_77;обл Тульская,р-н Веневский,п Васильевский,ул Лесная,д 11;;
78;STORE_78;обл Тульская,р-н Веневский,с Дьяконово,ул Барская Слобода,д 24;;
79;STORE_79;обл Сахалинская,р-н Тымовский,с Молодежное,ул Советская,д 13А;;
80;STORE_80;обл Сахалинская,р-н Тымовский,с Ясное,ул Титова,д 2;;
81;STORE_81;обл Сахалинская,р-н Тымовский,с Восход,ул Космическая,д 2А;;
82;STORE_82;обл Сахалинская,р-н Тымовский,с Кировское,ул Центральная,д 73;;
83;STORE_83;обл Сахалинская,р-н Тымовский,с Воскресеновка,ул Школьная,д 9;;
84;STORE_84;обл Тульская,р-н Веневский,д Анишино,ул Новая,д 8А;;
85;STORE_85;обл Тульская,р-н Веневский,д Кукуй,ул Центральная,д 5;;
86;STORE_86;обл Тульская,р-н Веневский,п Бельковский,ул Дружбы,д 3;;
87;STORE_87;обл Саратовская,р-н Красноармейский,с Садовое,ул Советская,д 5;;
88;STORE_88;обл Кемеровская область - Кузбасс,р-н Беловский,д Ивановка,ул Весенняя,д 68А;;
89;STORE_89;обл Кемеровская область - Кузбасс,р-н Беловский,с Евтино,пер Садовый,д 4;;
90;STORE_90;обл Кемеровская область - Кузбасс,р-н Беловский,с Вишневка,ул Новая,д 12;;
91;STORE_91;обл Кемеровская область - Кузбасс,р-н Беловский,с Новобачаты,ул Советская,д 6д;;
92;STORE_92;обл Свердловская,р-н Серовский,п Восточный,пер Парковый,д 2;;
93;STORE_93;край Красноярский,р-н Курагинский,п Бугуртак,ул Береговая,д 19а;;
94;STORE_94;край Красноярский,р-н Курагинский,п Байдово,ул Мира,д 27;;
95;STORE_95;край Красноярский,р-н Курагинский,с Пойлово,ул Мира,д 1Б;;
96;STORE_96;край Красноярский,р-н Туруханский,г Игарка,мкр 2-й,д 4А;;первый этаж
97;STORE_97;обл Томская,р-н Кожевниковский,д Зайцево,ул Школьная,д 24;;
98;STORE_98;обл Саратовская,р-н Красноармейский,с Ключи,ул Чехова,д 20;;
99;STORE_99;обл Саратовская,р-н Красноармейский,с Мордово,ул Садовая,д 7;;
100;STORE_100;край Красноярский,р-н Абанский,с Залипье,ул Молодежная,д 17;;
101;STORE_101;обл Саратовская,р-н Красноармейский,с Ревино,ул Советская,д 17а;;
102;STORE_102;край Ставропольский,р-н Курский,Балтийский,Школьная,1А;;
103;STORE_103;край Ставропольский,р-н Курский,с Полтавское,ул Кооперативная,д 1Б;;
104;STORE_104;край Красноярский,р-н Курагинский,с Мурино,ул Ленина,д 14А;;
105;STORE_105;край Красноярский,р-н Курагинский,п Заречный,ул Верхняя,д 4;;
106;STORE_106;край Красноярский,р-н Курагинский,п Детлово,ул Ленина,д 19;;
107;STORE_107;край Красноярский,р-н Курагинский,с Березовское,ул Ленина,д 2;;
108;STORE_108;край Хабаровский,р-н Ульчский,п Де-Кастри,ул Клубная,3;;
109;STORE_109;обл Московская,р-н Клинский,Клин,Литейная,23а;;
110;STORE_110;край Красноярский,р-н Назаровский,п Сохновка,ул Борьбы,д 10;;
111;STORE_111;край Красноярский,р-н Назаровский,с Сахапта,ул Клубная,д 17;;
112;STORE_112;обл Калужская,р-н Думиничский,ж/д_ст Палики,ул Привокзальная,д. 13;;
113;STORE_113;Респ Северная Осетия - Алания,г Владикавказ,ул Иристонская,3;;РДНТ (бывш. ДК металлургов)
114;STORE_114;обл Томская,р-н Кожевниковский,с Вороново,ул Уткина,д 17;;
115;STORE_115;обл Московская,г Ногинск,ул Краснослободская,д 2В;;
116;STORE_116;край Красноярский,р-н Курагинский,с Курское,ул Октябрьская,д 48;;
117;STORE_117;край Красноярский,г Шарыпово,пл Революции,дом 13;;360 км от города Красноярска
118;STORE_118;Респ Хакасия,г Саяногорск,ул Металлургов,влд 6А;;
119;STORE_119;Респ Чеченская,р-н Шелковской,ст-ца Ново-Щедринская,ул Ленина,д 52;;
120;STORE_120;обл Саратовская,р-н Саратовский,п Красный Текстильщик,ул Базарная,д 8;;
121;STORE_121;край Красноярский,р-н Таймырский Долгано-Ненецкий,г Дудинка,ул Ленина,д 21;;
122;STORE_122;край Красноярский,г Железногорск,ул Ленина,д 23;;
123;STORE_123;край Красноярский,г Боготол,ул 40 лет Октября,д 12;;
124;STORE_124;обл Томская,р-н Кожевниковский,с Песочнодубровка,ул Советская,д 55;;
125;STORE_125;обл Брянская,р-н Климовский,с Хоромное,ул Октябрьская,д 149А;;
126;STORE_126;обл Брянская,р-н Климовский,с Кирилловка,ул Советская,д 18;;
127;STORE_127;обл Московская,р-н Ленинский,пгт Горки Ленинские,ул Новое шоссе,д 79;;
128;STORE_128;край Красноярский,р-н Курагинский,с Можарка,ул Школьная,д 11;;
129;STORE_129;обл Московская,р-н Волоколамский,д Тимонино,ул Парковая,стр 2;;
130;STORE_130;обл Томская,р-н Кожевниковский,с Старая Ювала,ул Ульяновская,д 34;;
131;STORE_131;край Красноярский,г Норильск,ул Строителей,д 17;;район Талнах
132;STORE_132;край Красноярский,г Красноярск,ул Лесная,д 55А;;ост. «Переулок послушников»
133;STORE_133;обл Саратовская,р-н Ровенский,с Кривояр,ул Южная,д 5;;
134;STORE_134;Респ Башкортостан,р-н Кармаскалинский,с Ильтеряково,ул Школьная,д 2;;
135;STORE_135;Респ Башкортостан,р-н Кармаскалинский,д Сахаево,ул Шоссейная,д 3;;
136;STORE_136;Респ Башкортостан,р-н Кармаскалинский,д Савалеево,ул Мира,д 8а;;
137;STORE_137;Респ Башкортостан,р-н Кармаскалинский,д Старобабичево,ул Садовая,д 3;;
138;STORE_138;край Ставропольский,р-н Предгорный,с Новоблагодарное,ул Ленина,д 52;;маршрутка № 116 из Пятигорска, остановка «Верхний рынок», автобус № 108 из Ессентуков
139;STORE_139;обл Брянская,р-н Климовский,с Лакомая Буда,ул Заречная,д 19а;;
140;STORE_140;Респ Башкортостан,р-н Кармаскалинский,с Шаймуратово,ул Партизанская,д 38;;
141;STORE_141;Респ Башкортостан,р-н Кармаскалинский,с Прибельский,ул Ленина,д 6;;
142;STORE_142;Респ Башкортостан,р-н Кармаскалинский,д Константиновка,ул Ленина,д 67/1;;
143;STORE_143;обл Волгоградская,р-н Руднянский,с Лемешкино,ул Кирова,д 97;;
144;STORE_144;край Ставропольский,р-н Предгорный,п Подкумок,ул Учебная,д 19;;
145;STORE_145;Респ Башкортостан,р-н Белорецкий,с Ломовка,ул Ленина,д 34;;
146;STORE_146;обл Брянская,р-н Климовский,д Плавна,ул Центральная Площадь,д 4;;
147;STORE_147;Респ Башкортостан,р-н Белорецкий,с Ассы,ул Мубарякова,д 25/1;;
148;STORE_148;Респ Башкортостан,р-н Белорецкий,с Абзаково,ул Ленина;;
149;STORE_149;обл Саратовская,р-н Ровенский,с Приволжское,ул Советская,д 60;;
150;STORE_150;обл Саратовская,р-н Ровенский,с Тарлыковка,ул Рабочая,д.29;;
151;STORE_151;обл Саратовская,р-н Ровенский,с Скатовка,пер Кооперативный,д 24а;;
152;STORE_152;обл Саратовская,р-н Ровенский,с Кочетное,ул Центральная,д 25;;
153;STORE_153;обл Саратовская,р-н Ровенский,с Луговское,ул Ленина,д 24;;
154;STORE_154;край Ставропольский,р-н Предгорный,п Нежинский,ул Зеленогорская,д 56;;маршрут № 104
155;STORE_155;край Красноярский,р-н Емельяновский,пгт Емельяново,ул Декабристов,д 85А;;
156;STORE_156;край Красноярский,п Подгорный,ул Трактовая,д 11;;
157;STORE_157;край Красноярский,р-н Курагинский,с Тюхтят,ул Центральная,д 39а;;
158;STORE_158;край Красноярский,р-н Ачинский,п Малиновка,кв-л 1-й,стр 4;;
159;STORE_159;край Красноярский,г Красноярск,пр-кт Металлургов,д 22;;
160;STORE_160;Респ Мордовия,р-н Ардатовский,г Ардатов,пер Луначарского,д 21;;
161;STORE_161;край Красноярский,р-н Манский,с Шалинское,ул Ленина,д 33;;
162;STORE_162;обл Брянская,р-н Климовский,с Истопки,ул Октябрьская,д 25;;
163;STORE_163;обл Саратовская,р-н Ровенский,п Владимирский,ул Волгоградская,д 14;;
164;STORE_164;обл Брянская,р-н Климовский,с Чолхов,ул Набережная,д 47;;
165;STORE_165;обл Брянская,р-н Климовский,с Каменский Хутор,ул Ленина,д 99;;
166;STORE_166;край Красноярский,р-н Курагинский,с Кордово,ул Набережная,д 32;;
167;STORE_167;край Красноярский,р-н Курагинский,г Артемовск,ул Ольховская,д 124;;
168;STORE_168;обл Московская,р-н Ленинский,д Горки,ул Полковникова,д 2;;
169;STORE_169;обл Московская,р-н Ленинский,д Калиновка,д 63;;помещение Досугового центра «Юность»
170;STORE_170;обл Московская,р-н Ленинский,п/о Петровское,влд 12;;военный городок
171;STORE_171;край Красноярский,р-н Курагинский,д Гуляевка,ул Мира,д 34;;
172;STORE_172;обл Брянская,р-н Климовский,с Брахлов,ул 1 Мая,д 18;;
173;STORE_173;обл Томская,р-н Кожевниковский,с Новопокровка,ул Садовая,д 2а;;
174;STORE_174;край Красноярский,р-н Курагинский,пгт Краснокаменск,ул Центральная,д 8А;;
175;STORE_175;край Красноярский,р-н Курагинский,д Белый Яр,ул Трактовая,д 14;;
176;STORE_176;край Красноярский,р-н Курагинский,п Рощинский,ул Мира,д 30;;
177;STORE_177;край Красноярский,р-н Курагинский,д Петропавловка,ул Октябрьская,д 7;;
178;STORE_178;обл Брянская,р-н Климовский,с Хохловка,ул Щорса,д 1а;;
179;STORE_179;обл Брянская,р-н Климовский,с Сытая Буда,ул Школьная,д 9;;
180;STORE_180;обл Московская,г Наро-Фоминск,п Новая Ольховка,ул Школьная,д 2/1;;
181;STORE_181;обл Московская,г Наро-Фоминск,с Атепцево,ул Речная,д 1а;;
182;STORE_182;"обл Московская,г Наро-Фоминск,п совхоза ""Архангельский"",ул Комарова,д 7";;автобусы № 29, 28, 23
183;STORE_183;обл Московская,р-н Волоколамский,с Осташево,ул Советская,д 1/3;;
184;STORE_184;обл Саратовская,р-н Красноармейский,с Золотое,пер Больничный,д 6Б;;
185;STORE_185;обл Саратовская,р-н Татищевский,с Октябрьский Городок,ул Уханова,д 58;;
186;STORE_186;обл Саратовская,р-н Красноармейский,с Рогаткино,ул Советская,д 66;;
187;STORE_187;обл Московская,г Талдом,с Темпы,ул Водников,д 1;; 
188;STORE_188;край Красноярский,р-н Абанский,п Абан,ул Советская,д 71а;;автобусы № 1 и 2, ост. «Школа»
189;STORE_189;обл Брянская,р-н Унечский,с Рюхов,ул Октябрьская,д 58;;
190;STORE_190;обл Саратовская,р-н Красноармейский,с Сплавнуха,ул Совхозная,влд 19А;;
191;STORE_191;обл Саратовская,р-н Красноармейский,с Некрасово,ул Чапаева,д 16;;
192;STORE_192;Респ Саха /Якутия/,у Алданский,г Алдан,ул Жадейкина,д 1Б;;
193;STORE_193;обл Саратовская,р-н Красноармейский,с Первомайское,ул Мостовая,д 21;;
194;STORE_194;обл Саратовская,р-н Красноармейский,с Усть-Золиха,ул Центральная,д 21а;;
195;STORE_195;край Краснодарский,р-н Кущевский,ст-ца Шкуринская,ул Ленина,д 54;;
196;STORE_196;обл Брянская,р-н Унечский,с Павловка,ул Школьная,д 1;;
197;STORE_197;обл Брянская,р-н Севский,с Доброводье,ул имени Ульянова,д 63;;
198;STORE_198;обл Саратовская,р-н Красноармейский,ж/д_ст Карамыш,ул Почтовая,д 21а;;
199;STORE_199;обл Саратовская,р-н Новоузенский,г Новоузенск,ул Хайкина,д 2А;;доехать можно любым общественным транспортом
200;STORE_200;обл Саратовская,р-н Красноармейский,с Каменка,ул Советская,д 26А;;
201;STORE_201;обл Саратовская,р-н Татищевский,с Ягодная Поляна,ул Советская,д 51;;
202;STORE_202;обл Саратовская,р-н Татищевский,с Большая Каменка,ул Центральная,д 30;;
203;STORE_203;обл Саратовская,р-н Татищевский,с Большая Ивановка,проезд Административный 1-й,д 6;;
204;STORE_204;обл Саратовская,р-н Татищевский,с Сторожевка,ул Свободный переулок,д 4а;;
205;STORE_205;обл Брянская,р-н Унечский,с Писаревка,ул Школьная,д 19А;;
206;STORE_206;обл Брянская,р-н Климовский,с Новый Ропск,ул Ленина,д 148;;
207;STORE_207;обл Волгоградская,р-н Еланский,х Хвощинка,д 86б;;рейсовый автобус «Елань – Хвощинка»
208;STORE_208;обл Саратовская,р-н Энгельсский,п Придорожный,ул Советская,д 6А;;маршрутное такси № 278
209;STORE_209;обл Кировская,р-н Слободской,п Октябрьский,ул Первомайская,6;;
210;STORE_210;обл Брянская,р-н Климовский,С.Новые Юрковичи,ул.Советская,д.23;;
211;STORE_211;обл Брянская,р-н Климовский,с Чуровичи,ул Ленинская,д 106;;
212;STORE_212;обл Брянская,р-н Унечский,с Красновичи,ул Школьная,д 2;;
213;STORE_213;край Камчатский,р-н Усть-Большерецкий,с Апача,ул Юбилейная,д 16;;
214;STORE_214;обл Самарская,р-н Пестравский,с Марьевка,ул Пенькова,д 33;;
215;STORE_215;Респ Башкортостан,р-н Архангельский,с Красный Зилим,ул Центральная,д 2;;
216;STORE_216;обл Ленинградская,р-н Кировский,г Кировск,ул Набережная,д 27;;из СПб: от ст. м. «Улица Дыбенко» на автобусе № 565, 572 до автостанции г. Кировск
217;STORE_217;обл Брянская,р-н Севский,д Юшина,ул Провинциальная,1 а;;
218;STORE_218;Респ Башкортостан,р-н Белорецкий,с Кага,ул Ленина,д 45;;
219;STORE_219;обл Брянская,р-н Унечский,д Добрик,ул Центральная,д 61;;
220;STORE_220;обл Ульяновская,р-н Тереньгульский,рп Тереньга,пл Ленина,д 3;;
221;STORE_221;обл Брянская,р-н Севский,с Сенное,ул Молодежная,32;;
222;STORE_222;обл Брянская,р-н Унечский,с Найтоповичи,ул Октябрьская,д 16;;
223;STORE_223;обл Брянская,р-н Трубчевский,с Плюсково,ул Молодежная,д 20;;
224;STORE_224;край Хабаровский,р-н Комсомольский,с Нижнетамбовское,ул Кретова,6;;
225;STORE_225;обл Магаданская,р-н Ольский,с Балаганное,ул Советская,д 13;;
226;STORE_226;обл Московская,р-н Орехово-Зуевский,г Дрезна,ул Юбилейная,д 4;;
227;STORE_227;обл Саратовская,р-н Аркадакский,с Чиганак,ул Буднюка,д 49б;;
228;STORE_228;обл Московская,р-н Одинцовский,г Одинцово,ул Трудовая,д 36;;
229;STORE_229;обл Московская,г Мытищи,ш Осташковское,д 22;;к. 3, помещение 6
230;STORE_230;обл Брянская,р-н Севский,п Рабочий,ул Садовая,10;;
231;STORE_231;обл Московская,р-н Наро-Фоминский,д.Таширово,Центральная,20;;
232;STORE_232;Респ Башкортостан,р-н Уфимский,д Алексеевка,ул Центральная,д 52;;от остановки Округ Галле на 115 маршруте до остановки Центральная
233;STORE_233;обл Брянская,р-н Трубчевский,д Глыбочка,ул Имени Постевого,3А;;
234;STORE_234;обл Брянская,р-н Трубчевский,д Макарзно,пер Набережный,4;;
235;STORE_235;обл Брянская,р-н Трубчевский,д Красное,ул Центральная,д 69;;
236;STORE_236;обл Брянская,р-н Трубчевский,д Кветунь,ул Советская,36;;
237;STORE_237;обл Брянская,р-н Унечский,с Белогорщь,ул Мглинская,д 49А;;
238;STORE_238;обл Брянская,р-н Унечский,с Старая Гута,ул Фрунзе,д 71;;
239;STORE_239;обл Брянская,р-н Трубчевский,с Селец,ул Трубчевская,д 62;;
240;STORE_240;обл Брянская,р-н Унечский,с Робчик,ул Кирова,д 15;;
241;STORE_241;обл Брянская,р-н Унечский,д Слобода-Селецкая,ул Октябрьская,д 19;;
242;STORE_242;обл Брянская,р-н Трубчевский,пгт Белая Березка,ул Калинина,д 11;;
243;STORE_243;обл Саратовская,р-н Новоузенский,п Дюрский,ул Почтовая,д 2;;
244;STORE_244;обл Саратовская,р-н Ивантеевский,с Арбузовка,ул Плюстовская,д 7;;
245;STORE_245;обл Брянская,р-н Унечский,с Высокое,ул Дружбы,д 10;;
246;STORE_246;обл Брянская,р-н Севский,с Новоямское,ул Молодежная,д 15;;
247;STORE_247;обл Брянская,р-н Севский,с Княгинино,ул Молодежная,д 22;;
248;STORE_248;обл Самарская,р-н Пестравский,с Майское,ул Центральная,двлд 11;;
249;STORE_249;обл Саратовская,р-н Новоузенский,г Новоузенск,ул 2-й Микрорайон,д 1;;
250;STORE_250;обл Московская,г Ногинск,с Балобаново,ул Буденного,д 7;;
251;STORE_251;обл Московская,г.о. Серебряные Пруды,село Глубокое,40;;
252;STORE_252;обл Московская,г.о. Серебряные Пруды,село Клемово,69;;
253;STORE_253;обл Брянская,р-н Унечский,д Шулаковка,ул Советская,д 1;;
254;STORE_254;обл Московская,рп Серебряные Пруды,с Узуново,ул Советская,д 7а;;
255;STORE_255;обл Московская,р-н Коломенский,деревня Сельниково,19 Б;;От автовокзала «Голутвин» автобус номер 30 (Новопокровский, Сельниково) до остановки Сельниково, далее пешком до поворота 110 метров, перейти дорогу и 110 метров до учреждения.
256;STORE_256;обл Московская,г Кашира,ул Пролетарская,д 25;;
257;STORE_257;обл Томская,р-н Молчановский,с Суйга,ул Северная,д 17;;
258;STORE_258;обл Томская,р-н Молчановский,с Сарафановка,ул Школьная,д 40;;
259;STORE_259;обл Брянская,р-н Унечский,ж/д_рзд Коробоничи,пер Сосновый,д 1А;;
260;STORE_260;обл Брянская,р-н Севский,с Подывотье,ул Молодежная,д 32;;
261;STORE_261;обл Саратовская,р-н Новоузенский,с Куриловка,пл Революции,д 1;;
262;STORE_262;обл Томская,р-н Молчановский,с Сулзат,ул Ленина,д 15;;
263;STORE_263;обл Саратовская,р-н Новоузенский,с Олоновка,ул Первомайская,д 9;;
264;STORE_264;обл Московская,р-н Наро-Фоминский,село Петровское,1д;;
265;STORE_265;обл Саратовская,р-н Новоузенский,п Алгайский,ул Центральная,11;;
266;STORE_266;обл Московская,р-н Наро-Фоминский,д Головково,20;;
267;STORE_267;обл Брянская,р-н Унечский,д Коробоничи,ул Центральная,д 29Б;;
268;STORE_268;обл Саратовская,р-н Ивантеевский,с Клевенка,ул Советская,двлд 93а;;
269;STORE_269;обл Магаданская,р-н Северо-Эвенский,с Тополовка,ул Порунова,д 9;;1 этаж, налево
270;STORE_270;обл Магаданская,р-н Северо-Эвенский,с Верхний Парень,ул Центральная,д 7;;здание администрации села Верх-Парень, дверь справа
271;STORE_271;обл Магаданская,р-н Северо-Эвенский,с Гарманда,ул Набережная,д 2;;1 этаж, налево
272;STORE_272;обл Магаданская,р-н Северо-Эвенский,с Гижига,ул Ленина,д 11;;1 этаж налево
273;STORE_273;обл Саратовская,р-н Новоузенский,с Дмитриевка,ул Советская,25 а;;
274;STORE_274;обл Саратовская,р-н Новоузенский,с Пограничное,ул Копылова,д 38Б;;
275;STORE_275;обл Самарская,р-н Пестравский,с Красная Поляна,ул Советская,двлд 2в;;
276;STORE_276;обл Тюменская,р-н Сорокинский,д Городище,ул В.Рябошапко,д 32;;
277;STORE_277;обл Магаданская,р-н Среднеканский,с Верхний Сеймчан,ул Холодченко,д 16;;
278;STORE_278;Респ Башкортостан,р-н Белорецкий,с Сосновка,ул Центральная,3;;
279;STORE_279;обл Брянская,р-н Климовский,с Сачковичи,ул Ленина,д 34;;
280;STORE_280;обл Тюменская,р-н Сорокинский,с Нижнепинигино,ул Центральная,д 54;;
281;STORE_281;обл Московская,г Коломна,с Нижнее Хорошово,ул Центральная,д 8;;автобус № 43
282;STORE_282;обл Московская,г Коломна,п Пески,ул Советская,д 19;;
283;STORE_283;обл Саратовская,р-н Новоузенский,п Радищево,ул Радищева,д 19;;
284;STORE_284;обл Московская,г Коломна,с Черкизово,ул Школьная,д 2б;;автобус № 27, ост. «Черкизово-2»
285;STORE_285;обл Тюменская,р-н Сорокинский,с Покровка,ул Центральная,д 16;;
286;STORE_286;обл Тюменская,р-н Сорокинский,с Александровка,ул Школьная,д 4;;
287;STORE_287;обл Кировская,р-н Кильмезский,д Вихарево,ул Школьная,д 8;;
288;STORE_288;обл Кировская,р-н Кильмезский,д Моторки,ул Озерная,д 21;;
289;STORE_289;обл Тюменская,р-н Сорокинский,с Осиновка,ул Советская,д 35;;
290;STORE_290;обл Тюменская,р-н Сорокинский,с Ворсиха,ул Новая,д 21;;
291;STORE_291;обл Тюменская,р-н Сорокинский,с Знаменщиково,ул Советская,д 17;;2 этаж
292;STORE_292;обл Саратовская,р-н Аркадакский,с Новосельское,ул Мира,д 20;;
293;STORE_293;обл Саратовская,р-н Аркадакский,с Кистендей,ул Кооперативная,д 39;;
